Variable,log2(FC),p-value,q-value,-log10(q-value),Mean
H2-Ea-ps,10.018333333333334,1.5374075725137128e-05,0.00031773089831950066,3.4979405493618296,7.464166666666666
Cd74,8.86,2.489770195083683e-05,0.0003430350046559741,3.464661560559996,9.639999999999999
Cd69,8.053333333333333,0.0011348604201828713,0.004690756403422534,2.3287571198979333,6.406666666666666
H2-Ab1,7.761666666666668,0.001969393692731064,0.00581440042615838,2.2354950625410495,8.425833333333333
H2-Aa,7.743333333333333,6.992393353383391e-05,0.0007225473131829504,3.141133709565859,10.151666666666666
S100a9,6.6450000000000005,0.005792774918954422,0.011585549837908844,1.9360833502293562,9.2475
H2-Eb1,5.7299999999999995,0.00011858113969075959,0.000980270754776946,3.00865395383298,8.945
Blnk,5.67,7.688884592414281e-05,0.0007334012995841314,3.1346583248066717,6.155
Camp,5.458333333333333,0.016188745934855704,0.023517111245183287,1.6286160264448233,4.684166666666667
H2-DMb2,5.419999999999999,0.0004588717390025367,0.002276003825452582,2.6428270123246156,8.4
Cd2,5.378333333333333,3.273182757597367e-05,0.000368976965401885,3.4330007452531555,8.704166666666667
Cd83,5.3549999999999995,0.0029847453999931623,0.007117469799983694,2.147674366924704,9.1825
Ets1,5.211666666666666,0.0013243787893704839,0.00502788636750351,2.2986145461260663,8.980833333333333
Ms4a1,4.989999999999999,1.3668038837811065e-05,0.00031773089831950066,3.4979405493618296,8.895000000000001
Cd79b,4.9816666666666665,3.0127298345164303e-05,0.000368976965401885,3.4330007452531555,8.105833333333333
Tnfaip3,4.951666666666668,1.8124424392547978e-06,0.00011237143123379746,3.949344087650973,9.030833333333334
S100a8,4.66166666666667,0.0009378526255567444,0.004010128467897804,2.396841714161508,9.195833333333333
Cybb,4.573333333333334,0.011702956125011502,0.018216670592234405,1.7395309948464446,7.6066666666666665
Ptprc,4.283333333333334,0.0023843398926968254,0.0064273510150957905,2.1919679814407123,8.491666666666665
Cxcr4,4.2733333333333325,2.8087782237849768e-06,0.00011609616658311237,3.935182120134696,8.756666666666666
Irf1,4.186666666666665,0.003559217208848434,0.008024416979949198,2.0955865117690697,7.2733333333333325
Ltb,4.1083333333333325,0.0026906317730217544,0.007098688082014842,2.1488219064059044,7.519166666666667
Irf4,3.868333333333334,0.0004926880069604191,0.0023497428024266145,2.62897967202607,7.9191666666666665
H2-DMa,3.7249999999999996,0.00031715754895323995,0.0017134009036407474,2.766141008389948,7.717500000000001
